"","Form","Freq","lemma","POS","base","logtoken","nountype","typetoken_ratio","entropy"
"84","bimbi",18670,"bimbo","NOUN-M:p","bimb_",9.83467323653577,"animate",15.303,11.842
"85","bimbo",18849,"bimbo","NOUN-M:s","bimb_",9.84421514107106,"animate",15.533,11.592
"86","biologa",744,"biologa","NOUN-F:s","biolog_",6.61204103483309,"animate",49.497,10.293
"87","biologhe",31,"biologa","NOUN-F:p","biolog_",3.43398720448515,"animate",71.264,6.736
"88","biologi",3565,"biologo","NOUN-M:p","biolog_",8.1789193328484,"animate",23.513,10.781
"89","biologo",3444,"biologo","NOUN-M:s","biolog_",8.14438886554762,"animate",24.039,10.679
"90","bisnonna",413,"bisnonna","NOUN-F:s","bisnonn_",6.02344759296103,"animate",52.856,9.426
"91","bisnonne",52,"bisnonna","NOUN-F:p","bisnonn_",3.95124371858143,"animate",70.53,7.273
"92","bisnonni",452,"bisnonno","NOUN-M:p","bisnonn_",6.11368217983223,"animate",45.953,8.986
"93","bisnonno",692,"bisnonno","NOUN-M:s","bisnonn_",6.53958595561767,"animate",46.392,9.731
"94","bufala",4303,"bufala","NOUN-F:s","bufal_",8.3670677328386,"animate",27.605,11.047
"95","bufale",1248,"bufala","NOUN-F:p","bufal_",7.12929754892937,"animate",39.326,10.488
"96","bufali",809,"bufalo","NOUN-M:p","bufal_",6.69579891705849,"animate",36.586,9.801
"97","bufalo",719,"bufalo","NOUN-M:s","bufal_",6.57786135772105,"animate",45.486,10.172
"98","cagnetta",806,"cagnetta","NOUN-F:s","cagnett_",6.69208374250663,"animate",45.056,10.091
"99","cagnette",106,"cagnetta","NOUN-F:p","cagnett_",4.66343909411207,"animate",65.524,8.17
"100","cagnetti",113,"cagnetto","NOUN-M:p","cagnett_",4.72738781871234,"animate",69.863,8.403
"101","cagnetto",273,"cagnetto","NOUN-M:s","cagnett_",5.60947179518496,"animate",59.016,9.249
"102","candidata",18522,"candidata","NOUN-F:s","candidat_",9.82671449373021,"animate",7.649,10.019
"103","candidate",1641,"candidata","NOUN-F:p","candidat_",7.40306109109009,"animate",34.787,10.602
"104","candidati",105817,"candidato","NOUN-M:p","candidat_",11.5694664660279,"animate",3.272,10.844
"105","candidato",119634,"candidato","NOUN-M:s","candidat_",11.692192361035,"animate",3.539,10.948
"106","capretta",439,"capretta","NOUN-F:s","caprett_",6.08449941307517,"animate",47.417,9.365
"107","caprette",380,"capretta","NOUN-F:p","caprett_",5.94017125272043,"animate",52.383,9.513
"108","capretti",387,"capretto","NOUN-M:p","caprett_",5.95842469302978,"animate",51.311,9.436
"109","capretto",1139,"capretto","NOUN-M:s","caprett_",7.03790596344718,"animate",36.533,9.985
"110","castellana",169,"castellana","NOUN-F:s","castellan_",5.12989871492307,"animate",65.926,9.034
"111","castellane",29,"castellana","NOUN-F:p","castellan_",3.36729582998647,"animate",84.103,7.265
"112","castellani",162,"castellano","NOUN-M:p","castellan_",5.08759633523238,"animate",73.081,9.214
"113","castellano",309,"castellano","NOUN-M:s","castellan_",5.73334127689775,"animate",61.804,9.514
"114","cavalla",1373,"cavalla","NOUN-F:s","cavall_",7.22475340576797,"animate",38.675,10.375
"115","cavalle",420,"cavalla","NOUN-F:p","cavall_",6.04025471127741,"animate",43.992,8.848
"116","cavalli",29312,"cavallo","NOUN-M:p","cavall_",10.2857522674739,"animate",13.686,12.237
"117","cavallo",48140,"cavallo","NOUN-M:s","cavall_",10.7818687113371,"animate",11.748,12.448
"118","cognata",1875,"cognata","NOUN-F:s","cognat_",7.53636393840451,"animate",36.039,10.389
"119","cognate",219,"cognata","NOUN-F:p","cognat_",5.3890717298165,"animate",47.893,8.216
"120","cognati",621,"cognato","NOUN-M:p","cognat_",6.43133108193348,"animate",37.32,8.68
"121","cognato",3851,"cognato","NOUN-M:s","cognat_",8.25608813381491,"animate",32.031,11.116
"122","commessa",6451,"commessa","NOUN-F:s","commess_",8.77199043653224,"animate",20.369,11.293
"123","commesse",4123,"commessa","NOUN-F:p","commess_",8.3243363327069,"animate",21.978,11.007
"124","commessi",10011,"commesso","NOUN-M:p","commess_",9.21143976741948,"animate",13.95,10.841
"125","commesso",2087,"commesso","NOUN-M:s","commess_",7.6434829070772,"animate",33.48,10.712
"126","coreografa",901,"coreografa","NOUN-F:s","coreograf_",6.80350525760834,"animate",36.026,9.292
"127","coreografe",37,"coreografa","NOUN-F:p","coreograf_",3.61091791264422,"animate",80.882,7.212
"128","coreografi",868,"coreografo","NOUN-M:p","coreograf_",6.76619171466035,"animate",30.051,9.401
"129","coreografo",2284,"coreografo","NOUN-M:s","coreograf_",7.7336835707759,"animate",27.432,9.967
"130","cortigiana",319,"cortigiana","NOUN-F:s","cortigian_",5.76519110278484,"animate",62.461,9.533
"131","cortigiane",241,"cortigiana","NOUN-F:p","cortigian_",5.48479693349065,"animate",66.953,9.534
"132","cortigiani",1167,"cortigiano","NOUN-M:p","cortigian_",7.06219163228656,"animate",46.07,10.774
"133","cortigiano",211,"cortigiano","NOUN-M:s","cortigian_",5.35185813347607,"animate",71.592,9.272
"134","deputata",2228,"deputata","NOUN-F:s","deputat_",7.70885960104718,"animate",29.196,10.295
"135","deputate",467,"deputata","NOUN-F:p","deputat_",6.1463292576689,"animate",44.051,9.415
"136","deputati",88880,"deputato","NOUN-M:p","deputat_",11.3950424243135,"animate",3.722,9.974
"137","deputato",43430,"deputato","NOUN-M:s","deputat_",10.6789057255289,"animate",6.93,10.77
"138","destinatari",28906,"destinatario","NOUN-M:p","destinatari_",10.2718044650088,"animate",7.161,11.204
"139","destinataria",1796,"destinataria","NOUN-F:s","destinatari_",7.49331724886215,"animate",27.27,10.522
"140","destinatarie",2363,"destinataria","NOUN-F:p","destinatari_",7.76768727718691,"animate",18.872,10.163
"141","destinatario",21611,"destinatario","NOUN-M:s","destinatari_",9.98095772330303,"animate",9.122,11.087
"142","detenuta",422,"detenuta","NOUN-F:s","detenut_",6.04500531403601,"animate",47.17,9.564
"143","detenute",1056,"detenuta","NOUN-F:p","detenut_",6.96224346426621,"animate",33.824,9.905
"144","detenuti",33043,"detenuto","NOUN-M:p","detenut_",10.4055650225444,"animate",7.804,11.387
"145","detenuto",8795,"detenuto","NOUN-M:s","detenut_",9.08193865717166,"animate",15.569,11.134
"146","devota",292,"devota","NOUN-F:s","devot_",5.67675380226828,"animate",61.692,9.402
"147","devote",104,"devota","NOUN-F:p","devot_",4.64439089914137,"animate",73.057,8.39
"148","devoti",4394,"devoto","NOUN-M:p","devot_",8.38799525294456,"animate",27.064,11.16
"149","devoto",1782,"devoto","NOUN-M:s","devot_",7.48549160803075,"animate",34.382,10.364
"150","discepola",292,"discepola","NOUN-F:s","discepol_",5.67675380226828,"animate",56.402,8.981
"151","discepole",138,"discepola","NOUN-F:p","discepol_",4.92725368515721,"animate",59.341,8.172
"152","discepoli",15373,"discepolo","NOUN-M:p","discepol_",9.6403680029126,"animate",14.104,10.911
"153","discepolo",6302,"discepolo","NOUN-M:s","discepol_",8.74862232231722,"animate",23.171,10.949
"154","diva",2095,"diva","NOUN-F:s","div_",7.64730883235624,"animate",37.563,10.976
"155","dive",952,"diva","NOUN-F:p","div_",6.85856503479136,"animate",45.349,10.775
"156","divi",1723,"divo","NOUN-M:p","div_",7.45182223652793,"animate",38.528,10.797
"157","divo",1669,"divo","NOUN-M:s","div_",7.41997992366183,"animate",40.023,10.727
"158","divorziata",149,"divorziata","NOUN-F:s","divorziat_",5.00394630594546,"animate",62.162,8.459
"159","divorziate",70,"divorziata","NOUN-F:p","divorziat_",4.24849524204936,"animate",42.926,6.8
"160","divorziati",652,"divorziato","NOUN-M:p","divorziat_",6.48004456192665,"animate",40.027,9.637
"161","divorziato",166,"divorziato","NOUN-M:s","divorziat_",5.11198778835654,"animate",51.919,7.688
"162","estranea",6734,"estranea","NOUN-F:s","estrane_",8.81492459972102,"animate",21.857,11.568
"163","estranee",618,"estranea","NOUN-F:p","estrane_",6.42648845745769,"animate",46.268,10.23
"164","estranei",3921,"estraneo","NOUN-M:p","estrane_",8.27410200229233,"animate",27.046,11.249
"165","estraneo",3531,"estraneo","NOUN-M:s","estrane_",8.16933639592839,"animate",29.394,11.144
"166","fanciulla",7317,"fanciulla","NOUN-F:s","fanciull_",8.89795568688403,"animate",24.265,11.487
"167","fanciulle",3476,"fanciulla","NOUN-F:p","fanciull_",8.15363748638528,"animate",34.997,11.626
"168","fanciulli",5270,"fanciullo","NOUN-M:p","fanciull_",8.56978564153541,"animate",23.324,11.218
"169","fanciullo",6357,"fanciullo","NOUN-M:s","fanciull_",8.75731184693641,"animate",20.23,10.801
"170","fidanzata",10372,"fidanzata","NOUN-F:s","fidanzat_",9.24686514665856,"animate",21.155,11.378
"171","fidanzate",750,"fidanzata","NOUN-F:p","fidanzat_",6.62007320653036,"animate",47.597,9.975
"172","fidanzati",491,"fidanzato","NOUN-M:p","fidanzat_",6.19644412779452,"animate",51.066,9.748
"173","fidanzato",7382,"fidanzato","NOUN-M:s","fidanzat_",8.90679988358994,"animate",22.703,11.079
"174","figli",190686,"figlio","NOUN-M:p","figli_",12.1583833751547,"animate",4.602,11.798
"175","figlia",69358,"figlia","NOUN-F:s","figli_",11.1470367759752,"animate",9.556,11.941
"176","figliastra",393,"figliastra","NOUN-F:s","figliastr_",5.97380961186926,"animate",53.26,9.271
"177","figliastre",30,"figliastra","NOUN-F:p","figliastr_",3.40119738166216,"animate",56,5.867
"178","figliastri",223,"figliastro","NOUN-M:p","figliastr_",5.40717177146012,"animate",55.509,8.376
"179","figliastro",289,"figliastro","NOUN-M:s","figliastr_",5.66642668811243,"animate",59.779,9.191
"180","figlie",14964,"figlia","NOUN-F:p","figli_",9.61340259546804,"animate",17.853,11.458
"181","figlio",177804,"figlio","NOUN-M:s","figli_",12.0884370989967,"animate",5.567,11.976
"182","figliola",1032,"figliola","NOUN-F:s","figliol_",6.93925394604151,"animate",43.099,10.01
"183","figliole",262,"figliola","NOUN-F:p","figliol_",5.5683445037611,"animate",62.15,9.129
"184","figlioli",1299,"figliolo","NOUN-M:p","figliol_",7.1693500166706,"animate",42.371,10.487
"185","figliolo",2359,"figliolo","NOUN-M:s","figliol_",7.76599307940768,"animate",34.609,10.552
"186","fotografa",1377,"fotografa","NOUN-F:s","fotograf_",7.22766249872865,"animate",40.639,10.651
"187","fotografe",110,"fotografa","NOUN-F:p","fotograf_",4.70048036579242,"animate",58.447,8.02
"188","fotografi",7436,"fotografo","NOUN-M:p","fotograf_",8.91408834884133,"animate",20.615,11.332
"189","fotografo",10442,"fotografo","NOUN-M:s","fotograf_",9.2535914139705,"animate",19.57,11.555
"190","funzionari",42887,"funzionario","NOUN-M:p","funzionari_",10.6663240286901,"animate",6.953,11.463
"191","funzionaria",615,"funzionaria","NOUN-F:s","funzionari_",6.42162226780652,"animate",48.492,9.999
"192","funzionarie",117,"funzionaria","NOUN-F:p","funzionari_",4.76217393479776,"animate",59.2,8.378
"193","funzionario",31467,"funzionario","NOUN-M:s","funzionari_",10.3566946566297,"animate",7.855,11.034
"194","gatta",3726,"gatta","NOUN-F:s","gatt_",8.22309055116153,"animate",31.52,11.135
"195","gatte",526,"gatta","NOUN-F:p","gatt_",6.26530121273771,"animate",51.897,9.731
"196","gatti",20884,"gatto","NOUN-M:p","gatt_",9.94673859453044,"animate",14.254,11.491
"197","gatto",22226,"gatto","NOUN-M:s","gatt_",10.0090180537456,"animate",15.788,11.895
"198","gemella",541,"gemella","NOUN-F:s","gemell_",6.29341927884648,"animate",58.878,10.127
"199","gemelle",1014,"gemella","NOUN-F:p","gemell_",6.92165818415113,"animate",49.093,10.421
"200","gemelli",4834,"gemello","NOUN-M:p","gemell_",8.48342956126343,"animate",27.541,11.315
"201","gemello",1220,"gemello","NOUN-M:s","gemell_",7.1066061377273,"animate",44.621,10.528
"202","ginecologa",787,"ginecologa","NOUN-F:s","ginecolog_",6.6682282484174,"animate",45.053,10.07
"203","ginecologhe",50,"ginecologa","NOUN-F:p","ginecolog_",3.91202300542815,"animate",64.516,7.217
"204","ginecologi",732,"ginecologo","NOUN-M:p","ginecolog_",6.59578051396131,"animate",39.138,9.908
"205","ginecologo",3430,"ginecologo","NOUN-M:s","ginecolog_",8.14031554015999,"animate",25.848,10.821
"206","guerriera",786,"guerriera","NOUN-F:s","guerrier_",6.66695679242921,"animate",44.59,10.205
"207","guerriere",248,"guerriera","NOUN-F:p","guerrier_",5.51342874616498,"animate",63.158,9.407
"208","guerrieri",5781,"guerriero","NOUN-M:p","guerrier_",8.66233195708248,"animate",26.016,11.675
"209","guerriero",7984,"guerriero","NOUN-M:s","guerrier_",8.9851948179913,"animate",22.403,11.624
"210","immigrata",332,"immigrata","NOUN-F:s","immigrat_",5.80513496891649,"animate",56.355,9.446
"211","immigrate",807,"immigrata","NOUN-F:p","immigrat_",6.69332366826995,"animate",38.151,9.944
"212","immigrati",64960,"immigrato","NOUN-M:p","immigrat_",11.0815269748356,"animate",5.86,11.514
"213","immigrato",7892,"immigrato","NOUN-M:s","immigrat_",8.97360486714251,"animate",16.996,11.041
"214","imputata",730,"imputata","NOUN-F:s","imputat_",6.59304453414244,"animate",43.385,10.14
"215","imputate",129,"imputata","NOUN-F:p","imputat_",4.85981240436167,"animate",67.614,8.833
"216","imputati",16135,"imputato","NOUN-M:p","imputat_",9.68874610448606,"animate",11.997,11.242
"217","imputato",22636,"imputato","NOUN-M:s","imputat_",10.0272968382624,"animate",8.632,10.854
"218","indigena",207,"indigena","NOUN-F:s","indigen_",5.33271879326537,"animate",68.678,9.38
"219","indigene",209,"indigena","NOUN-F:p","indigen_",5.34233425196481,"animate",65.008,9.16
"220","indigeni",4254,"indigeno","NOUN-M:p","indigen_",8.35561499576018,"animate",29.288,11.576
"221","indigeno",493,"indigeno","NOUN-M:s","indigen_",6.20050917404269,"animate",57.731,10.145
"222","ladra",578,"ladra","NOUN-F:s","ladr_",6.35957386867238,"animate",52,9.907
"223","ladre",90,"ladra","NOUN-F:p","ladr_",4.49980967033027,"animate",56.667,7.818
"224","ladri",10220,"ladro","NOUN-M:p","ladr_",9.23210186375769,"animate",21.258,11.791
"225","ladro",7279,"ladro","NOUN-M:s","ladr_",8.89274876911826,"animate",24.656,11.5
"226","lupa",1004,"lupa","NOUN-F:s","lup_",6.91174730025167,"animate",44.498,10.449
"227","lupe",47,"lupa","NOUN-F:p","lup_",3.85014760171006,"animate",67.339,7.029
"228","lupi",6593,"lupo","NOUN-M:p","lup_",8.7937637591133,"animate",23.905,11.431
"229","lupo",24523,"lupo","NOUN-M:s","lup_",10.1073667316689,"animate",13.454,11.353
"230","malata",1090,"malata","NOUN-F:s","malat_",6.99393297522319,"animate",41.799,10.343
"231","malate",277,"malata","NOUN-F:p","malat_",5.62401750618734,"animate",56.392,9.183
"232","malati",33192,"malato","NOUN-M:p","malat_",10.4100641620127,"animate",9.527,11.514
"233","malato",15968,"malato","NOUN-M:s","malat_",9.67834199855124,"animate",14.452,11.462
"234","miliardari",774,"miliardario","NOUN-M:p","miliardari_",6.65157187358973,"animate",46.631,10.239
"235","miliardaria",123,"miliardaria","NOUN-F:s","miliardari_",4.81218435537242,"animate",68.132,8.392
"236","miliardarie",27,"miliardaria","NOUN-F:p","miliardari_",3.29583686600433,"animate",68.293,6.572
"237","miliardario",2587,"miliardario","NOUN-M:s","miliardari_",7.85825418218603,"animate",34.1,11.029
"238","ministra",1731,"ministra","NOUN-F:s","ministr_",7.45645455517621,"animate",34.683,10.608
"239","ministre",317,"ministra","NOUN-F:p","ministr_",5.75890177387728,"animate",52.148,9.319
"240","ministri",87651,"ministro","NOUN-M:p","ministr_",11.3811182992974,"animate",3.933,9.87
"241","ministro",228034,"ministro","NOUN-M:s","ministr_",12.3372500196259,"animate",3.37,11.412
"242","neonata",1389,"neonata","NOUN-F:s","neonat_",7.23633934275434,"animate",45.172,10.966
"243","neonate",121,"neonata","NOUN-F:p","neonat_",4.79579054559674,"animate",75.314,8.718
"244","neonati",6392,"neonato","NOUN-M:p","neonat_",8.76280248744611,"animate",22.256,11.409
"245","neonato",7225,"neonato","NOUN-M:s","neonat_",8.88530251298063,"animate",22.08,11.529
"246","nipotina",1114,"nipotina","NOUN-F:s","nipotin_",7.01571242048723,"animate",40.252,10.043
"247","nipotine",206,"nipotina","NOUN-F:p","nipotin_",5.32787616878958,"animate",64,8.973
"248","nipotini",1856,"nipotino","NOUN-M:p","nipotin_",7.52617891334615,"animate",38.908,10.672
"249","nipotino",1496,"nipotino","NOUN-M:s","nipotin_",7.31055015853442,"animate",37.359,10.33
"250","nonna",18601,"nonna","NOUN-F:s","nonn_",9.83097062169695,"animate",16.92,11.629
"251","nonne",2502,"nonna","NOUN-F:p","nonn_",7.82484569102686,"animate",33.347,10.865
"252","nonni",11472,"nonno","NOUN-M:p","nonn_",9.3476645628394,"animate",16.99,11.086
"253","nonnina",675,"nonnina","NOUN-F:s","nonnin_",6.51471269087253,"animate",48.584,9.901
"254","nonnine",95,"nonnina","NOUN-F:p","nonnin_",4.55387689160054,"animate",76.021,8.574
"255","nonnini",125,"nonnino","NOUN-M:p","nonnin_",4.8283137373023,"animate",62.974,8.425
"256","nonnino",333,"nonnino","NOUN-M:s","nonnin_",5.80814248998044,"animate",57.863,9.285
"257","nonno",19082,"nonno","NOUN-M:s","nonn_",9.85650076131179,"animate",16.603,11.599
"258","novizi",687,"novizio","NOUN-M:p","novizi_",6.53233429222235,"animate",46.009,9.961
"259","novizia",198,"novizia","NOUN-F:s","novizi_",5.28826703069454,"animate",55.25,8.461
"260","novizie",246,"novizia","NOUN-F:p","novizi_",5.50533153593236,"animate",52.207,8.862
"261","novizio",527,"novizio","NOUN-M:s","novizi_",6.26720054854136,"animate",47.978,9.547
"262","operai",37072,"operaio","NOUN-M:p","operai_",10.5206172466722,"animate",9.463,11.676
"263","operaia",306,"operaia","NOUN-F:s","operai_",5.72358510195238,"animate",52.566,9.214
"264","operaie",1434,"operaia","NOUN-F:p","operai_",7.26822302115957,"animate",36.079,10.509
"265","operaio",13944,"operaio","NOUN-M:s","operai_",9.54280458719986,"animate",15.436,11.485
"266","orfanella",140,"orfanella","NOUN-F:s","orfanell_",4.9416424226093,"animate",71.633,8.698
"267","orfanelle",111,"orfanella","NOUN-F:p","orfanell_",4.70953020131233,"animate",72.31,8.499
"268","orfanelli",233,"orfanello","NOUN-M:p","orfanell_",5.4510384535657,"animate",68.136,9.371
"269","orfanello",99,"orfanello","NOUN-M:s","orfanell_",4.59511985013459,"animate",72.5,8.295
"270","ostetrica",1258,"ostetrica","NOUN-F:s","ostetric_",7.13727843726039,"animate",30.5,9.934
"271","ostetriche",617,"ostetrica","NOUN-F:p","ostetric_",6.42486902390539,"animate",39.959,9.858
"272","ostetrici",77,"ostetrico","NOUN-M:p","ostetric_",4.34380542185368,"animate",69.583,8.036
"273","ostetrico",215,"ostetrico","NOUN-M:s","ostetric_",5.37063802812766,"animate",55.991,8.881
"274","pellegrina",173,"pellegrina","NOUN-F:s","pellegrin_",5.15329159449778,"animate",64.025,8.66
"275","pellegrine",59,"pellegrina","NOUN-F:p","pellegrin_",4.07753744390572,"animate",39.788,5.915
"276","pellegrini",7353,"pellegrino","NOUN-M:p","pellegrin_",8.90286367219622,"animate",19.896,11.255
"277","pellegrino",2070,"pellegrino","NOUN-M:s","pellegrin_",7.63530388625941,"animate",35.782,10.946
"278","pensionata",389,"pensionata","NOUN-F:s","pensionat_",5.96357934361845,"animate",56.187,9.579
